0,380
5,7792
10,7792
15,8071
20,8071
25,8071
30,8241
35,9028
40,9028
45,9028
50,9028
55,9028
60,9028
65,9028
70,9028
75,9028
80,9028
85,9028
90,9028
95,9028
100,9028
105,9028
110,9028
115,9028
120,9028
125,9028
130,9028
135,9028
140,9028
145,9028
150,9028
155,9028
160,9028
165,9028
170,9028
175,9028
180,9028
185,9028
190,9028
195,9028
200,9028
205,9028
210,9028
215,9028
220,9028
225,9028
230,9028
235,9028
240,9028
245,9028
250,9028
255,9028
260,9028
265,9028
270,9028
275,9028
280,9028
285,9028
290,9028
295,9028
300,9028
305,9028
310,9028
315,9028
320,9028
325,9028
330,9028
335,9028
340,9028
345,9028
350,9028
355,9028
360,9028
365,9028
370,9028
375,9028
380,9028
385,9028
390,9028
395,9028
400,9028
405,9028
410,9028
415,9028
420,9028
425,9028
430,9028
435,9028
440,9028
445,9028
450,9028
455,9028
460,9028
465,9028
470,9028
475,9028
480,9028
485,9028
490,9028
495,9028
500,9028
