0,0,1,15,12,9565,2,1,
0,0,18,3,18,9130,1,2,
0,0,16,4,18,9130,1,2,
0,0,2,17,11,9130,3,2,
0,0,8,14,19,9565,1,1,
0,0,3,5,15,9565,2,1,
0,0,8,2,13,9565,2,1,
0,0,20,2,14,9130,5,2,
0,0,7,2,10,9565,2,1,
0,0,3,4,15,9565,2,1,
0,0,9,4,16,9130,3,2,
0,0,9,3,12,9565,3,1,
0,0,4,6,13,9565,2,1,
0,0,9,11,19,9565,0,1,
0,0,10,9,19,9130,0,2,
0,0,10,9,19,9130,0,2,
0,0,12,1,7,9565,3,1,
0,0,3,18,18,9130,1,2,
0,0,4,10,16,9130,2,2,
0,0,6,4,12,9565,2,1,
0,0,12,6,18,9130,1,2,
0,0,10,6,18,9130,1,2,
0,0,16,7,19,9565,1,1,
0,0,11,2,10,9565,4,1,
0,0,7,3,16,9130,1,2,
0,0,4,5,9,9565,4,1,
0,0,18,5,19,9130,0,2,
0,0,3,5,8,9565,2,1,
0,0,4,2,6,10000,4,0,
0,0,3,12,15,9565,3,1,
0,0,6,5,16,9130,1,2,
0,0,3,11,14,9565,2,1,
0,0,4,6,14,9565,1,1,
0,0,9,11,19,9565,0,1,
0,0,8,1,14,9130,3,2,
0,0,3,13,15,9565,2,1,
0,0,2,18,15,9565,3,1,
0,0,12,8,19,9130,0,2,
0,0,4,6,13,9565,2,1,
0,0,2,20,16,9130,2,2,
0,0,5,9,17,9130,3,2,
0,0,9,4,13,9130,3,2,
0,0,10,7,18,9130,1,2,
0,0,13,1,10,9565,2,1,
0,0,15,2,10,9130,4,2,
0,0,7,16,19,9565,1,1,
0,0,8,4,17,9130,1,2,
0,0,13,1,11,9565,2,1,
0,0,7,5,16,9130,3,2,
0,0,3,9,13,9565,3,1,
0,0,9,3,15,9565,1,1,
0,0,10,3,14,9565,2,1,
0,0,9,10,19,9130,0,2,
0,0,17,1,8,9130,3,2,
0,0,2,10,15,9565,1,1,
0,0,8,4,16,9130,2,2,
0,0,15,2,11,9130,3,2,
0,0,5,11,18,9130,1,2,
0,0,2,19,13,9130,4,2,
0,0,3,7,17,9130,0,2,
0,0,5,13,18,9130,1,2,
0,0,1,6,7,10000,1,0,
0,0,2,15,11,9130,3,2,
0,0,8,11,19,9130,0,2,
0,0,8,4,11,9130,4,2,
0,0,6,4,14,9565,1,1,
0,0,3,14,15,9565,3,1,
0,0,11,3,15,9565,3,1,
0,0,1,3,10,9565,1,1,
0,0,1,3,7,10000,0,0,
0,0,15,1,13,9565,2,1,
0,0,4,1,7,10000,1,0,
0,0,13,9,19,9565,1,1,
0,0,4,9,15,9565,3,1,
0,0,11,10,19,9565,1,1,
0,0,13,3,16,9130,2,2,
0,0,10,2,16,9130,1,2,
0,0,6,4,13,9565,2,1,
0,0,4,8,10,9130,3,2,
0,0,17,1,11,9565,2,1,
0,0,1,11,15,9565,2,1,
